Route,Score,End,End Exit Volume,Start,End Clean
"['Tottenham Court Road', '[TRANSFER→]Leicester Square', 'Covent Garden', 'Holborn', 'Russell Square', ""King's Cross St. Pancras""]",589940.6767254071,King's Cross St. Pancras,122827.76544140621,Tottenham Court Road,King's Cross St. Pancras
"['Leicester Square', 'Covent Garden', 'Holborn', 'Russell Square', ""King's Cross St. Pancras"", '[TRANSFER→]Euston Square']",589940.6767254071,King's Cross St. Pancras,122827.76544140621,Leicester Square,King's Cross St. Pancras
"['Leicester Square', '[TRANSFER→]Charing Cross LU', 'Embankment', 'Waterloo LU', '[TRANSFER→]Southwark', 'London Bridge LU']",589824.2534842694,London Bridge LU,79888.75974908941,Leicester Square,London Bridge LU
"['Euston LU', 'Warren Street', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Bond Street', 'Oxford Circus', 'Piccadilly Circus']",589080.0363905486,Piccadilly Circus,43397.76087515598,Euston LU,Piccadilly Circus
"['Euston LU', 'Warren Street', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Green Park', 'Piccadilly Circus', 'Oxford Circus']",589080.0363905486,Oxford Circus,88888.96704187145,Euston LU,Oxford Circus
"['Piccadilly Circus', '[TRANSFER→]Green Park', 'Bond Street', 'Tottenham Court Road', '[TRANSFER→]Leicester Square', '[TRANSFER→]Charing Cross LU']",588640.680517872,Tottenham Court Road,101119.98339478439,Piccadilly Circus,Tottenham Court Road
"['Oxford Circus', 'Bond Street', 'Tottenham Court Road', '[TRANSFER→]Farringdon', ""[TRANSFER→]King's Cross St. Pancras"", '[TRANSFER→]Highbury & Islington']",588640.680517872,Tottenham Court Road,101119.98339478439,Oxford Circus,Tottenham Court Road
"[""King's Cross St. Pancras"", '[TRANSFER→]Farringdon', 'Tottenham Court Road', '[TRANSFER→]Oxford Circus', '[TRANSFER→]Green Park', 'Bond Street']",588640.680517872,Bond Street,65259.91811015903,King's Cross St. Pancras,Bond Street
"['Victoria LU', '[TRANSFER→]Green Park', '[TRANSFER→]Westminster', '[TRANSFER→]Green Park', 'Bond Street', 'Tottenham Court Road']",588640.680517872,Tottenham Court Road,101119.98339478439,Victoria LU,Tottenham Court Road
"[""King's Cross St. Pancras"", '[TRANSFER→]Farringdon', '[TRANSFER→]Tottenham Court Road', '[TRANSFER→]Farringdon', 'Tottenham Court Road', 'Bond Street']",588640.680517872,Bond Street,65259.91811015903,King's Cross St. Pancras,Bond Street
