line_id,line_name,mode_name,station_id,station_name,lat,lon,station_modes
district,District,tube,940GZZLUBBB,Bromley-by-Bow Underground Station,51.524839,-0.011538,['tube']
district,District,tube,940GZZLUBEC,Becontree Underground Station,51.540331,0.127016,['tube']
district,District,tube,940GZZLUBKF,Blackfriars Underground Station,51.511581,-0.103659,['tube']
district,District,tube,940GZZLUBKG,Barking Underground Station,51.539321,0.081053,['tube']
district,District,tube,940GZZLUBSC,Barons Court Underground Station,51.490311,-0.213427,['tube']
district,District,tube,940GZZLUBWR,Bow Road Underground Station,51.52694,-0.025128,['tube']
district,District,tube,940GZZLUBWT,Bayswater Underground Station,51.512284,-0.187938,['tube']
district,District,tube,940GZZLUCST,Cannon Street Underground Station,51.51151,-0.090432,['tube']
district,District,tube,940GZZLUCWP,Chiswick Park Underground Station,51.494627,-0.267972,['tube']
district,District,tube,940GZZLUDGE,Dagenham East Underground Station,51.544096,0.166017,['tube']
district,District,tube,940GZZLUDGY,Dagenham Heathway Underground Station,51.541639,0.147527,['tube']
district,District,tube,940GZZLUEBY,Ealing Broadway Underground Station,51.515017,-0.301457,['tube']
district,District,tube,940GZZLUECM,Ealing Common Underground Station,51.51014,-0.288265,['tube']
district,District,tube,940GZZLUECT,Earl's Court Underground Station,51.492063,-0.193378,['tube']
district,District,tube,940GZZLUEHM,East Ham Underground Station,51.538948,0.051186,['tube']
district,District,tube,940GZZLUEMB,Embankment Underground Station,51.507058,-0.122666,['tube']
district,District,tube,940GZZLUEPK,Elm Park Underground Station,51.549775,0.19864,['tube']
district,District,tube,940GZZLUEPY,East Putney Underground Station,51.459205,-0.211,['tube']
district,District,tube,940GZZLUERC,Edgware Road (Circle Line) Underground Station,51.519858,-0.167832,['tube']
district,District,tube,940GZZLUFBY,Fulham Broadway Underground Station,51.480081,-0.195422,['tube']
district,District,tube,940GZZLUGBY,Gunnersbury Underground Station,51.491803,-0.275267,['tube']
district,District,tube,940GZZLUGTR,Gloucester Road Underground Station,51.494316,-0.182658,['tube']
district,District,tube,940GZZLUHCH,Hornchurch Underground Station,51.554093,0.219116,['tube']
district,District,tube,940GZZLUHSD,Hammersmith (Dist&Picc Line) Underground Station,51.4923,-0.22362,['tube']
district,District,tube,940GZZLUHSK,High Street Kensington Underground Station,51.501055,-0.192792,['tube']
district,District,tube,940GZZLUKOY,Kensington (Olympia) Underground Station,51.497624,-0.210015,['tube']
district,District,tube,940GZZLUKWG,Kew Gardens Underground Station,51.477058,-0.285241,['tube']
district,District,tube,940GZZLUMED,Mile End Underground Station,51.525122,-0.03364,['tube']
district,District,tube,940GZZLUMMT,Monument Underground Station,51.5107,-0.085969,['tube']
district,District,tube,940GZZLUMSH,Mansion House Underground Station,51.512117,-0.094009,['tube']
district,District,tube,940GZZLUNHG,Notting Hill Gate Underground Station,51.509128,-0.196104,['tube']
district,District,tube,940GZZLUPAC,Paddington Underground Station,51.516581,-0.175689,['tube']
district,District,tube,940GZZLUPLW,Plaistow Underground Station,51.531341,0.017451,['tube']
district,District,tube,940GZZLUPSG,Parsons Green Underground Station,51.475277,-0.20117,['tube']
district,District,tube,940GZZLUPYB,Putney Bridge Underground Station,51.468262,-0.208731,['tube']
district,District,tube,940GZZLURMD,Richmond Underground Station,51.463237,-0.301336,['tube']
district,District,tube,940GZZLURVP,Ravenscourt Park Underground Station,51.494122,-0.235881,['tube']
district,District,tube,940GZZLUSFB,Stamford Brook Underground Station,51.494917,-0.245704,['tube']
district,District,tube,940GZZLUSFS,Southfields Underground Station,51.445073,-0.206602,['tube']
district,District,tube,940GZZLUSGN,Stepney Green Underground Station,51.521858,-0.046596,['tube']
district,District,tube,940GZZLUSJP,St. James's Park Underground Station,51.499544,-0.133608,['tube']
district,District,tube,940GZZLUSKS,South Kensington Underground Station,51.494094,-0.174138,['tube']
district,District,tube,940GZZLUSSQ,Sloane Square Underground Station,51.49227,-0.156377,['tube']
district,District,tube,940GZZLUTMP,Temple Underground Station,51.511006,-0.11426,['tube']
district,District,tube,940GZZLUTNG,Turnham Green Underground Station,51.495148,-0.254555,['tube']
district,District,tube,940GZZLUTWH,Tower Hill Underground Station,51.509971,-0.076546,['tube']
district,District,tube,940GZZLUUPB,Upminster Bridge Underground Station,51.55856,0.235809,['tube']
district,District,tube,940GZZLUUPK,Upton Park Underground Station,51.53534,0.035263,['tube']
district,District,tube,940GZZLUUPM,Upminster Underground Station,51.559063,0.250882,['tube']
district,District,tube,940GZZLUUPY,Upney Underground Station,51.538372,0.10153,['tube']
district,District,tube,940GZZLUVIC,Victoria Underground Station,51.496359,-0.143102,['tube']
district,District,tube,940GZZLUWBN,West Brompton Underground Station,51.487268,-0.195599,['tube']
district,District,tube,940GZZLUWHM,West Ham Underground Station,51.528136,0.005055,['tube']
district,District,tube,940GZZLUWIM,Wimbledon Underground Station,51.421207,-0.206573,['tube']
district,District,tube,940GZZLUWIP,Wimbledon Park Underground Station,51.434573,-0.199719,['tube']
